sseqid,length,isolate
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,ERR1156244
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15978,ERR1156244
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15530,ERR1156244
ICEberg|82|ICESpnH034800032|GenBank|FR671414|1..20370,14020,ERR1156244
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,9246,ERR1156244
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5854,ERR375014
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,18010,ERR1100557
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,12405,ERR1100557
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,11820,ERR1100557
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,10680,ERR1100557
ICEberg|402|CTn6|GenBank|AM180355|3890925..3910292,5854,ERR1100557
ICEberg|402|CTn6|GenBank|AM180355|3890925..3910292,9575,ERR1100632
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,8995,ERR1100632
ICEberg|45|Tn916|GenBank|U09422|1..18032,8705,ERR1100632
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5944,ERR1100632
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6953,ERR1156236
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5540,ERR377512
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15550,ERR987638
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14111,ERR987638
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,14085,ERR987638
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,12793,ERR987638
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,5172,ERR987638
ICEberg|47|Tn5251(partofTn5253)|GenBank|FJ711160|1..18033,18036,ERR987607
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15982,ERR987607
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,15745,ERR987607
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,14812,ERR987607
ICEberg|82|ICESpnH034800032|GenBank|FR671414|1..20370,14023,ERR987607
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,10636,ERR987607
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7546,ERR1156289
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8706,ERR374806
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8108,ERR374806
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5041,ERR374806
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7576,ERR374746
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,6290,ERR374746
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12051,SRR14011034
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7652,SRR14011034
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5272,SRR14011034
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR984991
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,13064,ERR984991
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7428,ERR984991
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15998,ERR1100577
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15782,ERR1100577
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,15399,ERR1100577
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9664,ERR1100577
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR370007
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9424,ERR370007
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8267,ERR370007
